Listing warnings for log file:  C:\td\trunk\logdir\tdbuild-release-31-Thu-10-11480394.log
Total warnings in all files = 5101
Warnings:   File:
        1   ..\..\Sqlifx32\C\ggiada.CPP
        5   ..\..\QO\src\qckgraph2\graphspec.h
        1   c:\td\trunk\reportbuilder\rdw\RDW_std.h
        2   c:\td\trunk\dbexplorer\gee\geeparseu.cpp
        6   ..\..\SQLWindows\share\fes\fescreat.cpp
        6   ..\..\QO\src\qckrpt\cpplabel.cpp
        4   ..\..\SQLWindows\ObjNat\res\..\res\resource.h
        1   ..\..\ReportBuilder\ReportBuilder\MainFrm.cpp
        3   ..\..\ReportBuilder\rdw\grefetch.cpp
        1   ..\..\SQLWindows\share\oed\oedclip.cpp
        3   ..\..\ReportBuilder\rdw\grergnpg.cpp
        1   ..\..\websrv\isapi\ISAPI.DEF
        1   ..\..\sqlsyb32\c\SQSFET.CPP
        2   ..\..\SQLWindows\share\sal\salclip.cpp
        2   ..\..\DBExplorer\cgutil\cgutil.def
       12   ..\..\SQLWindows\share\db\dboledbsql.cpp
        1   C:\Program Files (x86)\Microsoft Visual Studio 9.0\VC\include\xutility
        2   ..\..\ReportBuilder\rdw\grergxtb.cpp
       19   ..\..\ReportBuilder\RDW\grepdf.cpp
        4   ..\..\Util\include\dbres.h
       15   ..\..\SQLWindows\include\centura.h
        6   ..\..\DBExplorer\cgquery\qrybuild.cpp
       26   c:\td\trunk\util\gtiobj\gtiobj.cpp
        1   ..\..\sqlora32\c\OGSPKW.CPP
        2   ..\..\SQLWindows\puh\ListViewGrid.cpp
        2   ..\..\SQLWindows\share\oam\oamwin.cpp
       10   ..\..\SQLWindows\include\misc.h
        1   ..\..\ReportBuilder\rdw\blkobj.cpp
        1   c:\td\trunk\util\gtitools\fmt.cpp
        4   c:\td\trunk\build\QDBExplorer\..\..\Util\include\dbres.h
        1   ..\..\sqlodb32\c\GGICON.CPP
       12   ..\..\Util\gtiobj\gtiobj.cpp
        6   ..\..\util\fed\fedseparator.cpp
        1   ..\..\util\fed\fedtaborderdlg.cpp
        1   ..\..\sqlora32\c\OGIBLK.CPP
        5   .\util.c
        2   ..\..\ReportBuilder\rdw\gredlgin.cpp
       24   ..\..\xercesSRC\xercesc\util\NetAccessors\WinSock\BinHTTPURLInputStream.cpp
        3   ..\..\SQLWindows\share\fes\fesacc.cpp
       11   ..\..\SQLWindows\exe\blddlg\BLDSET.CPP
        3   ..\..\ReportBuilder\rdw\rdwrbbnc.cpp
        2   ..\..\SQLWindows\share\db\dbsqlfet.cpp
        9   ..\..\ReportBuilder\RDW\grefo107.cpp
        8   c:\td\trunk\reportbuilder\rdw\repgraph.cpp
        2   .\MainFrm.cpp
        1   c:\td\trunk\profui\include\exttempl.h
        1   ..\..\SQLWindows\exe\mfcui\FindAlDlg.cpp
        1   .\GptPrdPAK.def
        8   ..\..\SQLWindows\share\fes\ufcxmlparser.cpp
        8   c:\td\trunk\build\QLanguage\QPORTUGUESE\..\..\..\util\include\..\..\SQLWindows\exe\res\resource.h
        2   c:\td\trunk\util\dropdn\ddninit.cpp
        1   ..\..\appsrv\apscli\bindings.cpp
        3   ..\..\Components\vt\vtmenu.cpp
        3   ..\..\ReportBuilder\rdw\grevar.cpp
        2   ..\..\Util\tabexp\TXVIEWI.CPP
       16   ..\..\Include\comver.h
        8   ..\..\SQLWindows\share\oam\oamcvt.cpp
        2   ..\..\cdk\cenres\cdk_quickobjectinterface.cpp
        1   ..\..\SQLWindows\share\int\intevalx.cpp
        1   ..\..\sqlodb32\c\ODBECN.CPP
        3   ..\..\DBExplorer\dbexplorer\btitem.cpp
        2   ..\..\SQLWindows\share\sal\saldlg.cpp
        4   c:\td\trunk\build\QLanguage\QSPANISH\..\..\..\util\include\dbres.h
        3   ..\..\DBExplorer\cgquery\tblintfc.cpp
        2   ..\..\SQLWindows\puh\DialogGround.cpp
        2   ..\..\ReportBuilder\rdw\grergprt.cpp
        2   ..\..\SQLWindows\share\fes\fesmenu.cpp
        2   c:\td\trunk\dbexplorer\gee\windefsu.cpp
       24   ..\..\ReportBuilder\rdw\preview.cpp
        1   c:\td\trunk\reportbuilder\csv\csvutil.cpp
       10   ..\..\appsrv\apssrv\cmdline.cpp
        4   ..\..\SQLWindows\share\oed\OedFindReplacePPage.cpp
        1   c:\td\trunk\util\dropdn\ddnwin.cpp
        3   c:\td\trunk\dbexplorer\dbexplorer\..\..\ReportBuilder\ReportBuilder\REPORTBUILDER_std.h
